Fecha,Contagiados,Muertos,Fallecidos Probables,,,
1/28/2021,5382,246,56,,,
1/27/2021,5363,246,56,,,
1/26/2021,5361,246,56,,,
1/25/2021,5361,246,56,,,
1/24/2021,5361,246,56,,,
1/23/2021,5287,246,56,,,
1/22/2021,5271,246,56,,,
1/21/2021,5253,245,56,,,
1/20/2021,5239,243,55,,,
1/19/2021,5238,243,55,,,
1/18/2021,5235,242,55,,,
1/17/2021,5235,242,55,,,
1/16/2021,5205,242,55,,,
1/15/2021,5193,242,55,,,
1/14/2021,5193,242,55,,,
1/13/2021,5167,242,55,,,
1/12/2021,5140,242,55,,,
1/11/2021,5131,242,55,,,
1/10/2021,5130,242,55,,,
1/9/2021,5107,242,55,,,
1/8/2021,5104,242,55,,,
1/7/2021,5102,242,55,,,
1/6/2021,5084,241,55,,,
1/5/2021,5076,241,55,,,
1/4/2021,5060,241,55,,,
1/3/2021,5060,241,55,,,
1/2/2021,5061,241,55,,,
1/1/2021,5048,241,55,,,
Dec-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
12/31/2020,5044,241,55,,,
12/30/2020,5039,239,54,,,
12/29/2020,5023,239,54,,,
12/28/2020,5021,239,54,,,
12/27/2020,5017,239,54,,,
12/26/2020,5017,239,54,,,
12/25/2020,5017,239,54,,,
12/24/2020,5008,239,54,,,
12/23/2020,5003,237,54,,,
12/22/2020,5001,237,54,,,
12/21/2020,5001,237,54,,,
12/20/2020,5000,237,54,,,
12/19/2020,4996,237,54,,,
12/18/2020,4983,237,54,,,
12/17/2020,4977,237,54,,,
12/16/2020,4958,237,54,,,
12/15/2020,4935,237,54,,,
12/14/2020,4935,237,54,,,
12/13/2020,4935,237,54,,,
12/12/2020,4921,237,54,,,
12/11/2020,4913,236,53,,,
12/10/2020,4907,236,53,,,
12/9/2020,4898,236,53,,,
12/8/2020,4897,236,53,,,
12/7/2020,4893,236,53,,,
12/6/2020,4873,236,53,,,
12/5/2020,4866,234,53,,,
12/4/2020,4861,225,53,,,
12/3/2020,4851,222,53,,,
12/2/2020,4846,222,53,,,
12/1/2020,4846,222,53,,,
Nov-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
11/30/2020,4845,222,53,,,
11/29/2020,4845,222,53,,,
11/28/2020,4820,222,53,,,
11/27/2020,4780,222,53,,,
11/26/2020,4579,222,53,,,
11/25/2020,4562,222,53,,,
11/24/2020,4559,222,53,,,
11/23/2020,4557,222,53,,,
11/22/2020,4557,222,53,,,
11/21/2020,4556,222,53,,,
11/20/2020,4553,222,52,,,
11/19/2020,4551,222,52,,,
11/18/2020,4545,221,52,,,
11/17/2020,4524,221,52,,,
11/16/2020,4518,221,52,,,
11/15/2020,4512,221,52,,,
11/14/2020,4512,221,52,,,
11/13/2020,4499,219,52,,,
11/12/2020,4490,219,52,,,
11/11/2020,4450,219,52,,,
11/10/2020,4429,218,52,,,
11/9/2020,4415,218,52,,,
11/8/2020,4412,218,52,,,
11/7/2020,4355,218,52,,,
11/6/2020,4324,218,51,,,
11/5/2020,4302,216,51,,,
11/4/2020,4294,216,51,,,
11/3/2020,4290,216,51,,,
11/2/2020,4280,216,51,,,
11/1/2020,4271,216,51,,,
Oct-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
10/31/2020,4226,216,52,,,
10/30/2020,4212,216,52,,,
10/29/2020,4202,215,52,,,
10/28/2020,4195,216,52,,,
10/27/2020,4173,216,52,,,
10/26/2020,4160,216,52,,,
10/25/2020,4159,216,52,,,
10/24/2020,4149,214,52,,,
10/23/2020,4144,214,52,,,
10/22/2020,4098,214,52,,,
10/21/2020,4091,214,52,,,
10/20/2020,4059,209,52,,,
10/19/2020,4051,207,52,,,
10/18/2020,4050,207,52,,,
10/17/2020,4018,207,52,,,
10/16/2020,3950,207,52,,,
10/15/2020,3946,207,52,,,
10/14/2020,3891,207,51,,,
10/13/2020,3866,207,51,,,
10/12/2020,3864,207,51,,,
10/11/2020,3858,207,51,,,
10/10/2020,3857,207,51,,,
10/9/2020,3855,207,51,,,
10/8/2020,3816,207,51,,,
10/7/2020,3796,207,36,,,
10/6/2020,3795,207,36,,,
10/5/2020,3791,297,36,,,
10/4/2020,3791,207,36,,,
10/3/2020,3778,207,36,,,
10/2/1900,3765,207,36,,,
10/1/2020,3753,207,36,,,
Sep-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
9/30/2020,3768,207,36,,,
9/29/2020,3729,207,36,,,
9/28/2020,3723,206,36,,,
9/27/2020,3723,206,36,,,
9/26/2020,3710,206,36,,,
9/25/2020,3706,205,36,,,
9/24/2020,3698,205,36,,,
9/23/2020,3690,205,35,,,
9/22/2020,3679,205,35,,,
9/21/2020,3679,205,35,,,
9/20/2020,3678,205,35,,,
9/19/2020,3667,205,35,,,
9/18/2020,3660,205,35,,,
9/17/2020,3651,204,35,,,
9/16/2020,3643,203,35,,,
9/15/2020,3640,203,35,,,
9/14/2020,3640,203,35,,,
9/13/2020,3639,203,35,,,
9/12/2020,3633,203,35,,,
9/11/2020,3626,202,35,,,
9/10/2020,3609,201,35,,,
9/9/2020,3595,201,35,,,
9/8/2020,3584,201,35,,,
9/7/2020,3584,236,-,,,
9/6/2020,3581,236,-,,,
9/5/2020,3579,201,-,,,
9/4/2020,3573,201,-,,,
9/3/2020,3563,201,-,,,
9/2/2020,3556,201,-,,,
9/1/2020,3548,201,-,,,
Aug-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
8/31/2020,3543,200,-,,,
8/30/2020,3543,200,-,,,
8/29/2020,3534,200,-,,,
8/28/2020,3528,200,-,,,
8/27/2020,3514,200,-,,,
8/26/2020,3503,198,-,,,
8/25/2020,3502,197,-,,,
8/24/2020,3499,196,-,,,
8/23/2020,3482,196,-,,,
8/22/2020,3469,196,-,,,
8/21/2020,3464,196,-,,,
8/20/2020,3456,194,-,,,
8/19/2020,3444,193,-,,,
8/18/2020,3441,193,-,,,
8/17/2020,3415,193,-,,,
8/16/2020,3415,193,-,,,
8/15/2020,3412,193,-,,,
8/14/2020,3402,192,-,,,
8/13/2020,3388,192,-,,,
8/12/2020,3383,191,-,,,
8/11/2020,3370,191,-,,,
8/10/2020,3361,190,-,,,
8/9/2020,3325,190,-,,,
8/8/2020,3322,190,-,,,
8/7/2020,3264,190,-,,,
8/6/2020,3260,190,-,,,
8/5/2020,3260,189,-,,,
8/4/2020,3247,187,-,,,
8/3/2020,3233,186,-,,,
8/2/1900,3231,186,-,,,
8/1/2020,3230,186,-,,,
Jul-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
7/31/2020,3223,186,-,,,
7/30/2020,3189,178,-,,,
7/29/2020,3051,177,-,,,
7/28/2020,3040,175,-,,,
7/27/2020,2986,173,-,,,
7/26/2020,2970,173,-,,,
7/25/2020,2955,173,-,,,
7/24/2020,2908,173,-,,,
7/23/2020,2906,172,-,,,
7/22/2020,2898,172,-,,,
7/21/2020,2887,172,-,,,
7/20/2020,2872,169,-,,,
7/19/2020,2868,169,-,,,
7/18/2020,2856,168,-,,,
7/17/2020,2854,165,-,,,
7/16/2020,2693,163,-,,,
7/15/2020,2647,163,-,,,
7/14/2020,2636,162,-,,,
7/13/2020,2538,162,-,,,
7/12/2020,2523,161,-,,,
7/11/2020,2518,161,-,,,
7/10/2020,2427,158,-,,,
7/9/2020,2426,156,-,,,
7/8/2020,2370,152,-,,,
7/7/2020,2240,150,-,,,
7/6/2020,2228,149,-,,,
7/5/2020,2207,145,-,,,
7/4/2020,2186,145,-,,,
7/3/2020,2157,140,-,,,
7/2/1900,2156,139,-,,,
7/1/2020,2087,139,-,,,
Jun-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
6/30/2020,2084,139,-,,,
6/29/2020,2029,139,-,,,
6/28/2020,2024,138,-,,,
6/27/2020,1988,138,-,,,
6/26/2020,1949,138,-,,,
6/25/2020,1862,136,-,,,
6/24/2020,1811,136,-,,,
6/23/2020,1796,130,-,,,
6/22/2020,1756,130,-,,,
6/21/2020,1755,129,-,,,
6/20/2020,1717,129,-,,,
6/19/2020,1690,129,-,,,
6/18/2020,1677,121,-,,,
6/17/2020,1664,109,-,,,
6/16/2020,1583,109,-,,,
6/15/2020,1531,108,-,,,
6/14/2020,1478,102,-,,,
6/13/2020,1420,101,-,,,
6/12/2020,1374,101,-,,,
6/11/2020,1339,98,-,,,
6/10/2020,1307,98,-,,,
6/9/2020,1256,96,-,,,
6/8/2020,1198,96,-,,,
6/7/2020,1172,95,-,,,
6/6/2020,1123,95,-,,,
6/5/2020,1104,93,-,,,
6/4/2020,1061,92,-,,,
6/3/2020,1036,91,-,,,
6/2/2020,986,85,-,,,
6/1/2020,915,84,-,,,
May-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
5/31/2020,852,80,-,,,
5/30/2020,802,80,-,,,
5/29/2020,800,80,-,,,
5/28/2020,800,80,-,,,
5/27/2020,744,80,-,,,
5/26/2020,708,74,-,,,
5/25/2020,707,72,-,,,
5/24/2020,640,71,-,,,
5/23/2020,607,71,-,,,
5/22/2020,585,65,-,,,
5/21/2020,545,65,-,,,
5/20/2020,523,61,-,,,
5/19/2020,499,61,-,,,
5/18/2020,479,58,-,,,
5/17/2020,456,56,-,,,
5/16/2020,417,54,-,,,
5/15/2020,394,54,-,,,
5/14/2020,374,49,-,,,
5/13/2020,374,49,-,,,
5/12/2020,372,49,-,,,
5/11/2020,292,43,-,,,
5/10/2020,290,35,-,,,
5/9/2020,283,35,-,,,
5/8/2020,290,34,-,,,
5/7/2020,265,30,-,,,
5/6/2020,242,29,-,,,
5/5/2020,223,28,-,,,
5/4/2020,212,28,-,,,
5/3/2020,211,26,-,,,
5/2/1900,209,25,-,,,
5/1/2020,208,20,-,,,
Apr-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
4/30/2020,187,19,-,,,
4/29/2020,173,19,-,,,
4/28/2020,164,17,-,,,
4/27/2020,143,15,-,,,
4/26/2020,195,-,-,,,
4/25/2020,115,-,-,,,
4/24/2020,104,-,-,,,
4/23/2020,102,-,-,,,
4/22/2020,102,-,-,,,
4/21/2020,89,-,-,,,
4/20/2020,86,-,-,,,
4/19/2020,85,-,-,,,
4/18/2020,53,-,-,,,
4/17/2020,44,-,-,,,
4/16/2020,41,-,-,,,
4/15/2020,38,-,-,,,
4/14/2020,38,-,-,,,
4/13/2020,31,-,-,,,
4/12/2020,31,-,-,,,
4/11/2020,27,-,-,,,
4/10/2020,25,-,-,,,
4/9/2020,20,-,-,,,
4/8/2020,17,-,-,,,
4/7/2020,16,-,-,,,
4/6/2020,14,-,-,,,
4/5/2020,11,-,-,,,
4/4/2020,11,-,-,,,
4/3/2020,10,-,-,,,
4/2/2020,10,-,-,,,
4/1/2020,7,-,-,,,
Mar-20,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,
3/31/2020,7,-,-,,,
3/30/2020,7,-,-,,,
3/29/2020,4,-,-,,,
3/28/2020,4,-,-,,,
3/27/2020,4,-,-,,,
3/26/2020,4,-,-,,,
3/25/2020,4,-,-,,,
3/24/2020,4,-,-,,,
3/23/2020,3,-,-,,,
3/22/2020,3,-,-,,,
3/21/2020,2,-,-,,,
3/20/2020,2,-,-,,,
3/19/2020,-,-,-,,,
3/18/2020,-,-,-,,,
3/17/2020,-,-,-,,,
3/16/2020,-,-,-,,,
3/15/2020,-,-,-,,,
3/14/2020,-,-,-,,,
3/13/2020,-,-,-,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
